"_raw","_time",host,index,linecount,source,sourcetype,"splunk_server"
"Thu May  1 05:21:04 2025 [pid 5068] CONNECT: Client ""192.168.3.20""","2025-05-01T05:21:04.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Thu May  1 04:22:43 2025 [pid 4963] CONNECT: Client ""192.168.3.20""","2025-05-01T04:22:43.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 06:29:28 2025 [pid 5000] CONNECT: Client ""192.168.3.20""","2025-04-29T06:29:28.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 06:24:42 2025 [pid 4966] CONNECT: Client ""192.168.3.20""","2025-04-29T06:24:42.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 06:19:07 2025 [pid 4954] CONNECT: Client ""192.168.3.20""","2025-04-29T06:19:07.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:50:51 2025 [pid 5466] CONNECT: Client ""192.168.3.20""","2025-04-29T04:50:51.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:27:58 2025 [pid 5428] CONNECT: Client ""192.168.3.20""","2025-04-29T04:27:58.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:28 2025 [pid 5300] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:28.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:27 2025 [pid 5287] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:27.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:15 2025 [pid 5203] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:15.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:09 2025 [pid 5135] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:09.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:01 2025 [pid 5088] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:01.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:01 2025 [pid 5086] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:01.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:18:01 2025 [pid 5081] CONNECT: Client ""192.168.3.20""","2025-04-29T04:18:01.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:17:59 2025 [pid 5051] CONNECT: Client ""192.168.3.20""","2025-04-29T04:17:59.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:17:59 2025 [pid 5049] CONNECT: Client ""192.168.3.20""","2025-04-29T04:17:59.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:17:52 2025 [pid 5016] CONNECT: Client ""192.168.3.20""","2025-04-29T04:17:52.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:17:52 2025 [pid 5008] CONNECT: Client ""192.168.3.20""","2025-04-29T04:17:52.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:17:52 2025 [pid 5006] CONNECT: Client ""192.168.3.20""","2025-04-29T04:17:52.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
"Tue Apr 29 04:16:13 2025 [pid 4987] CONNECT: Client ""192.168.3.20""","2025-04-29T04:16:13.000+0300","metasploitable-2",main,1,"vsftpd.log",VictimLogs,"Alis-MacBook-Air.local"
